,repository_name,language
188,ml-stuttering-events-dataset,Python
189,ml-superposition-prompting,Python
190,ml-symphony,Svelte
191,ml-synthbias,
192,ml-tada,Python
193,ml-tarflow,Python
194,ml-tic-clip,Python
195,ml-tic-lm,Python
196,ml-toad,Python
197,ml-tract,Python
198,ml-transcript-translation-consistency-ratings,
199,ml-translate-vis,TypeScript
200,ml-tree-dst,Python
201,ml-tune-mode-convbn,Python
202,ml-tweak,Python
203,ml-ui-jepa,Python
204,ml-uncertainty-llms-instruction-following,Python
205,ml-upscale,Jupyter Notebook
206,ml-uwac,Python
207,ml-veclip,Jupyter Notebook
208,ml-vfi-smiff,Python
209,ml-vfm-kt,
210,ml-vision-transformers-ane,Python
211,ml-vivid,Python
212,music-feed-examples,Java
213,openjdk,Java
214,parameterized-transforms,Python
215,password-manager-resources,JavaScript
216,pfl-research,Jupyter Notebook
217,pir-service-example,Swift
218,pkl,Java
219,pkl-evolution,
220,pkl-go,Go
221,pkl-go-examples,Go
222,pkl-intellij,Kotlin
223,pkl-jvm-examples,Groovy
224,pkl-k8s,Pkl
225,pkl-k8s-examples,Pkl
226,pkl-lang.org,JavaScript
227,pkl-lsp,Kotlin
228,pkl-neovim,Lua
229,pkl-package-docs,Kotlin
230,pkl-pantry,Pkl
231,pkl-project-commons,Pkl
232,pkl-spring,Java
233,pkl-swift,Swift
234,pkl-swift-examples,Swift
235,pkl-vscode,TypeScript
236,pkl.tmbundle,Pkl
237,pytorch-speech-features,Python
238,rules_pkl,Starlark
239,sample-backyard-birds,Swift
240,sample-cloudkit-coredatasync,Swift
241,sample-cloudkit-encryption,Swift
242,sample-cloudkit-privatedb,Swift
243,sample-cloudkit-privatedb-sync,Swift
244,sample-cloudkit-queries,Swift
245,sample-cloudkit-sharing,Swift
246,sample-cloudkit-sync-engine,Swift
247,sample-cloudkit-tooling,JavaScript
248,sample-cloudkit-zonesharing,Swift
249,sample-fbounds-safety-adoption,HTML
250,sample-food-truck,Swift
251,security-pcc,Swift
252,servicetalk,Java
253,swift-3-api-guidelines-review,Swift
254,swift-algorithms,Swift
255,swift-argument-parser,Swift
256,swift-asn1,Swift
257,swift-async-algorithms,Swift
258,swift-async-dns-resolver,Swift
259,swift-atomics,Swift
260,swift-binary-parsing,Swift
261,swift-cassandra-client,Swift
262,swift-certificates,Swift
263,swift-clang,C++
264,swift-clang-tools-extra,C++
265,swift-cluster-membership,Swift
266,swift-collections,Swift
267,swift-collections-benchmark,Swift
268,swift-compiler-rt,C
269,swift-container-plugin,Swift
270,swift-crypto,Assembly
271,swift-distributed-actors,Swift
272,swift-distributed-tracing,Swift
273,swift-distributed-tracing-baggage-core,Swift
274,swift-distributed-tracing-extras,Swift
275,swift-evolution-staging,Swift
276,swift-homomorphic-encryption,Swift
277,swift-homomorphic-encryption-protobuf,
278,swift-http-structured-headers,Swift
279,swift-http-types,Swift
280,swift-internals,HTML
281,swift-issues,
282,swift-libcxx,C++
283,swift-llbuild2,Swift
284,swift-lldb,C++
285,swift-llvm,LLVM
286,swift-log,Swift
287,swift-metrics,Swift
288,swift-metrics-extras,Swift
289,swift-mmio,Swift
290,swift-nio,Swift
291,swift-nio-examples,Swift
292,swift-nio-extras,Swift
293,swift-nio-http2,Swift
294,swift-nio-imap,Swift
295,swift-nio-nghttp2-support,Swift
296,swift-nio-oblivious-http,Swift
297,swift-nio-ssh,Swift
298,swift-nio-ssl,Assembly
299,swift-nio-ssl-support,Swift
300,swift-nio-transport-services,Swift
301,swift-nio-zlib-support,Swift
302,swift-ntp,Swift
303,swift-numerics,Swift
304,swift-openapi-generator,Swift
305,swift-openapi-runtime,Swift
306,swift-openapi-urlsession,Swift
307,swift-play-experimental,Swift
308,swift-protobuf,Swift
309,swift-protobuf-plugin,
310,swift-protobuf-test-conformance,
311,swift-sample-distributed-actors-transport,Swift
312,swift-service-context,Swift
313,swift-service-discovery,Swift
314,swift-standard-library-preview,Swift
315,swift-statsd-client,Swift
316,swift-string-processing-benchmarks,Swift
317,swift-system,Swift
318,swift-tools-support-async,Swift
319,swift-xcode-playground-support,Swift
320,swiftpm-on-llbuild2,Swift
321,tensor-visualizer,Svelte
322,tensorflow_macos,Shell
323,ToolSandbox,Python
324,tree-sitter-pkl,Kotlin
325,turicreate,C++
326,unityplugins,C#
327,VideoFlashingReduction,Mathematica
328,visatronic-demo,HTML
329,vqg-multimodal-assistant,Python
